ID,착과량(int)
TEST_0000,243.63761359328805
TEST_0001,750.9620681819297
TEST_0002,150.27935758740225
TEST_0003,446.0270590280495
TEST_0004,680.0212678727468
TEST_0005,279.9509976390409
TEST_0006,62.02455419048145
TEST_0007,31.53646931801861
TEST_0008,357.1685605467472
TEST_0009,236.03137501013245
TEST_0010,555.5079644643616
TEST_0011,754.4195161094582
TEST_0012,457.14600409547154
TEST_0013,377.66190106674463
TEST_0014,64.46599427464389
TEST_0015,140.50689356526652
TEST_0016,465.43053080872573
TEST_0017,421.08031171242357
TEST_0018,254.02527948919422
TEST_0019,569.6449012273395
TEST_0020,241.43725797310768
TEST_0021,348.3160945721674
TEST_0022,447.84172776523104
TEST_0023,246.95178250470562
TEST_0024,157.4523588772931
TEST_0025,650.9430532375432
TEST_0026,150.95601402629853
TEST_0027,753.4099146623328
TEST_0028,631.219146740266
TEST_0029,449.7839644348286
TEST_0030,32.888008417012806
TEST_0031,583.4149094926485
TEST_0032,648.8289405944403
TEST_0033,555.3615976487451
TEST_0034,554.7966652998974
TEST_0035,357.1120648310463
TEST_0036,247.58536334057996
TEST_0037,646.4660735735257
TEST_0038,23.793592103577907
TEST_0039,444.4447195685256
TEST_0040,372.9662581601032
TEST_0041,150.89061246898672
TEST_0042,743.0529135938509
TEST_0043,87.70671381133434
TEST_0044,593.4649650680567
TEST_0045,344.08844197353955
TEST_0046,753.804315614781
TEST_0047,467.63446145963894
TEST_0048,350.48735200456565
TEST_0049,448.18286793531803
TEST_0050,549.5249772274194
TEST_0051,644.6544131611498
TEST_0052,414.1839497782516
TEST_0053,455.38020827739007
TEST_0054,367.06542056663886
TEST_0055,158.39906156637613
TEST_0056,749.0355265775175
TEST_0057,539.8166449133769
TEST_0058,562.8107832936054
TEST_0059,543.9344351043673
TEST_0060,449.258426096655
TEST_0061,49.024711063633006
TEST_0062,548.7377690715584
TEST_0063,346.1233901151303
TEST_0064,532.8152197398883
TEST_0065,340.9253938986399
TEST_0066,444.904083336166
TEST_0067,447.8648555699105
TEST_0068,148.0552211169247
TEST_0069,677.7059337527904
TEST_0070,747.3449364856427
TEST_0071,743.2818916292174
TEST_0072,649.7974586209781
TEST_0073,244.48396825883196
TEST_0074,147.63210043944227
TEST_0075,252.2058943282614
TEST_0076,150.82973862609037
TEST_0077,651.1945629469435
TEST_0078,751.120676134331
TEST_0079,348.01068128179264
TEST_0080,254.39982431685914
TEST_0081,49.13029209087165
TEST_0082,58.36203318406064
TEST_0083,651.773864071421
TEST_0084,628.9887490329459
TEST_0085,499.7478581277094
TEST_0086,244.45112257843272
TEST_0087,358.86902376587983
TEST_0088,53.18828085383546
TEST_0089,145.76139639672965
TEST_0090,45.55505441948529
TEST_0091,380.79092342671004
TEST_0092,540.1046140318313
TEST_0093,540.7242607333917
TEST_0094,537.9494098936333
TEST_0095,350.70930347883564
TEST_0096,244.683934687544
TEST_0097,248.530619371198
TEST_0098,235.06785447441905
TEST_0099,638.5507422913148
TEST_0100,707.4734193428533
TEST_0101,245.30604688390767
TEST_0102,450.69138663734793
TEST_0103,560.1683813169888
TEST_0104,225.97612211773964
TEST_0105,751.7896344564341
TEST_0106,150.00337023210173
TEST_0107,58.16447542044282
TEST_0108,450.90082603366625
TEST_0109,237.82149500169348
TEST_0110,641.2515358153422
TEST_0111,330.14257249236516
TEST_0112,576.7767226371163
TEST_0113,449.9617762994275
TEST_0114,712.0789706196805
TEST_0115,154.14053358779552
TEST_0116,654.1948938457896
TEST_0117,650.0705884785937
TEST_0118,345.91907427642064
TEST_0119,460.86127873392223
TEST_0120,154.09769723397798
TEST_0121,442.696063133633
TEST_0122,334.0767625597808
TEST_0123,553.4879344363993
TEST_0124,737.2184963951321
TEST_0125,555.6097182241743
TEST_0126,278.6647217465124
TEST_0127,551.17791148466
TEST_0128,541.3914943110215
TEST_0129,347.8613543225368
TEST_0130,50.990031233548976
TEST_0131,240.9049630157665
TEST_0132,461.57183579882474
TEST_0133,340.6617423166585
TEST_0134,106.7309664593641
TEST_0135,246.46888324506867
TEST_0136,759.0362705380581
TEST_0137,275.90465741401516
TEST_0138,156.05657501274362
TEST_0139,547.684462065031
TEST_0140,762.1855915295921
TEST_0141,754.3075188187929
TEST_0142,242.67895551884803
TEST_0143,444.2729403230867
TEST_0144,38.20246028951399
TEST_0145,556.4698876360675
TEST_0146,252.17139293681998
TEST_0147,182.4191872013281
TEST_0148,144.12034978234178
TEST_0149,417.11839747907607
TEST_0150,569.1296916627022
TEST_0151,641.7399679432726
TEST_0152,756.2234891909962
TEST_0153,158.63071805334513
TEST_0154,540.7059232657659
TEST_0155,751.7010857740265
TEST_0156,522.769100503437
TEST_0157,342.47587745042404
TEST_0158,148.8311524557232
TEST_0159,248.7661810732264
TEST_0160,546.3035396601944
TEST_0161,254.88212657360782
TEST_0162,224.04853856764063
TEST_0163,24.382416833952096
TEST_0164,546.3392142004374
TEST_0165,552.4465547511289
TEST_0166,613.4453648574051
TEST_0167,651.7202525680507
TEST_0168,551.1416997495577
TEST_0169,362.0035136106448
TEST_0170,654.3244601245515
TEST_0171,541.173896450193
TEST_0172,453.6452934117599
TEST_0173,248.6361002825646
TEST_0174,750.0961212922998
TEST_0175,150.30225564995837
TEST_0176,256.13649644334555
TEST_0177,358.7981255930387
TEST_0178,147.00932792924172
TEST_0179,347.4668462468506
TEST_0180,248.27512404558587
TEST_0181,357.59504489534146
TEST_0182,454.24761312678146
TEST_0183,256.98432168520986
TEST_0184,752.4353032903846
TEST_0185,552.5031170412102
TEST_0186,342.52925195679666
TEST_0187,641.2972200731944
TEST_0188,642.102905516844
TEST_0189,246.6080596853249
TEST_0190,656.3602638524387
TEST_0191,158.2276302652737
TEST_0192,357.2334124880754
